德感工业园物流园片区平场工程（二期）施工监理中标结果公告,招标代理机构：,重庆兴达建设监理有限公司,21,"
				                【信息时间：2018-12-13】【字号 "
北碚区“四好农村路”三圣镇卫金路改建工程中标结果公告,招标代理机构：,四川仁湖建筑工程有限公司,1285,"
				                【信息时间：2018-12-13】【字号 "
江津区珞璜镇2018年农村小康路（全域旅游公路）（兰狐旅游路、顺木旅游路、山白旅游路、思崇旅游路）建设项目（第二次）中标结果公告,招标代理机构：, 重庆乾和建筑工程有限公司,5867262,"
				                【信息时间：2018-12-13】【字号 "
桂馥家园二期安置房工程勘察设计中标结果公告,,,,"
				                【信息时间：2018-12-13】【字号 "
忠县国家粮食储备库综合楼项目的中标结果公告,重庆市忠县储备粮有限公司,中建洪春国际建设有限公司,2807.583398,"
				                【信息时间：2018-12-13】【字号 "
重庆市万州区农村小水电扶贫项目保安供水电站工程勘察设计,,,,"
				                【信息时间：2018-12-14】【字号 "
城口县环境监测实验室及综合楼建设工程中标结果公告,  ,重庆宏博置业集团古昌建筑工程有限公司,7632.4544,"
				                【信息时间：2018-12-14】【字号 "
城口县环境监测实验室及综合楼建设工程监理中标结果公告,  ,重庆兴达建设监理有限公司,138.6,"
				                【信息时间：2018-12-14】【字号 "
德感工业园物流园片区平场工程（二期）中标结果公告,招标代理机构：,重庆兴达实业（集团）有限公司,5092.740592,"
				                【信息时间：2018-12-14】【字号 "
重庆港开县港区白家溪作业区一期高仓及护坡工程勘察设计中标结果公告,招标代理机构：,长江勘测规划设计研究有限责任公司,,"
				                【信息时间：2018-12-14】【字号 "
忠县乌杨镇沿溪村农村移民安置区精准帮扶项目（道路及人行便道工程）中标结果公告,招标代理机构：,重庆市重强建筑工程有限公司,118.0939,"
				                【信息时间：2018-12-14】【字号 "
开州区五通乡三元村2018年深化脱贫攻坚农村公路建设项目（仁家垭口至八组商店）中标结果公告,招标代理机构：,四川兴伟建筑工程有限公司,2320682,"
				                【信息时间：2018-12-14】【字号 "
万州区孙家镇特色街综合整治工程,,,,"
				                【信息时间：2018-12-17】【字号 "
旗山路北段道路工程中标结果公告,,,,"
				                【信息时间：2018-12-17】【字号 "
长寿工业园区新市工业组团和谐路综合整治工程中标结果公告,招标代理机构：,重庆项毅建设（集团）有限公司,408.249074,"
				                【信息时间：2018-12-17】【字号 "
高新区（板桥园）车行道路面维修工程（第二次）中标结果公告,重庆市荣昌区棠广实业有限公司,重庆宏博置业集团古昌建筑工程有限公司,697.015495,"
				                【信息时间：2018-12-17】【字号 "
2019年渝中半岛区域路段迎春灯饰工程中标结果公告,招标代理机构：,,2760159.77,"
				                【信息时间：2018-12-17】【字号 "
万州区新田河综合治理工程监理（一标段）,,,,"
				                【信息时间：2018-12-18】【字号 "
万州区2018年财政涉农资金“四好农村路”通组公路建设项目余家镇关龙村(二)通组公路硬化工程,,,,"
				                【信息时间：2018-12-18】【字号 "
万州区溪口乡其林村玉竹村道路硬化项目,,,,"
				                【信息时间：2018-12-18】【字号 "
忠县忠州街道独珠村农村移民安置区精准帮扶项目村便民服务中心建设工程（第二次）中标结果公告,招标代理机构：重庆凯弘工程咨询有限公司,重庆市忠县建筑工程有限公司,130.124091,"
				                【信息时间：2018-12-18】【字号 "
重庆市奉节县诗歌小镇整体策划中标结果公告,重庆奉节生态旅游开发有限公司,中国建筑设计研究院有限公司,79.10,"
				                【信息时间：2018-12-18】【字号 "
奉节县康乐镇铁佛村农村移民安置区精准帮扶项目中标结果公告,奉节县康乐镇人民政府,四川江诚建设工程有限公司,1345.1203,"
				                【信息时间：2018-12-18】【字号 "
泔溪镇太吉小学校教学综合楼项目中标结果公告,招标代理机构：,重庆巨鑫建筑工程有限公司, 414.13306,"
				                【信息时间：2018-12-18】【字号 "
2019年大渡口区迎春灯饰工程施工（一标段）中标结果公告,招标代理机构：华新项目管理有限公司,四川中港建设工程有限公司,77.648393 ,"
				                【信息时间：2018-12-18】【字号 "
2019年大渡口区迎春灯饰工程施工（二标段）中标结果公告,招标代理机构：华新项目管理有限公司,四川中港建设工程有限公司,77.648393 ,"
				                【信息时间：2018-12-18】【字号 "
2019年大渡口区迎春灯饰工程施工（三标段）中标结果公告,招标代理机构：华新项目管理有限公司,四川中港建设工程有限公司,77.648393 ,"
				                【信息时间：2018-12-18】【字号 "
重庆市双石监狱建设项目勘察,,,,"
				                【信息时间：2018-12-19】【字号 "
重庆市双石监狱建设项目设计,,,,"
				                【信息时间：2018-12-19】【字号 "
万州区江北水厂引水隧洞高峰水库段改道工程水泥采购（第二次）,,,,"
				                【信息时间：2018-12-19】【字号 "
万州经开区五桥生态工业园天星片区主干道及管网工程-天星大道施工图设计,,,,"
				                【信息时间：2018-12-19】【字号 "
万州区溪口乡玉竹村人行便道硬化及饮水工程升级改造、玉竹村村容整治工程,,,,"
				                【信息时间：2018-12-19】【字号 "
万州区新田河综合治理工程监理（二标段）,,,,"
				                【信息时间：2018-12-19】【字号 "
余松路小游园公共停车库工程中标结果公告,,,,"
				                【信息时间：2018-12-19】【字号 "
潼南高新区北区D7-2、D23-1地块场平工程中标结果公告,招标代理机构： ,四川达辰建筑工程有限公司,3055.1966 ,"
				                【信息时间：2018-12-19】【字号 "
重庆市第四十二中学教学楼新建工程招标代理中标结果公告,招标代理机构,重庆精聚达建筑工程咨询有限公司,49%,"
				                【信息时间：2018-12-19】【字号 "
大佛中学分校建设工程、潼南实验中学初中部扩建（一期）工程、潼南小学扩建工程EPC项目中标结果公告,招标代理机构： ,林同棪国际工程咨询（中国）有限公司（联合体牵头人）,暂定设计费：1042.17,"
				                【信息时间：2018-12-19】【字号 "
四维卫浴（集团）有限公司物业移交整治工程项目中标结果公告,重庆市江津区油溪镇人民政府,重庆市羽翌建筑工程有限公司,"708.796823
  ","
				                【信息时间：2018-12-19】【字号 "
中兴大道（中兴三路-综北大道）及碑亭大道全段10KV线路搬迁工程中标结果公告,招标代理机构,中国电建集团重庆工程有限公司,1209,"
				                【信息时间：2018-12-19】【字号 "
江津区先锋镇2018年农村小康路（全域旅游公路）建设工程（二次）中标结果公告,招标代理机构：重庆永鑫工程项目管理有限公司,重庆市聚友建设工程有限公司,15013994.51,"
				                【信息时间：2018-12-19】【字号 "
江津区白沙片区棚户区暨城中村改造东华街民生街环境综合整治工程中标结果公告,招标代理机构：重庆西征建设工程咨询有限公司,重庆市园林建筑工程（集团）股份有限公司,107755879.77,"
				                【信息时间：2018-12-19】【字号 "
中国长江柑橘博览园勘察(第二次)中标结果公告,重庆奉节生态旅游开发有限公司,长江勘测规划设计研究有限责任公司,77.00,"
				                【信息时间：2018-12-19】【字号 "
重庆市黔江区2018年国家水土保持重点工程赵家河项目中标结果公告,重庆市黔江区润民农村水利工程有限公司,重庆韦恩园林景观工程有限公司,4122535.94,"
				                【信息时间：2018-12-19】【字号 "
万州区高铁站前区域（天子湖公园及周边部分）海绵城市工程（天子湖深水区原位修复工程）,,,,"
				                【信息时间：2018-12-20】【字号 "
